Mach,CD Power-On
8.68,0.348841521
8.69,0.348714248
8.7,0.348587289
8.71,0.348460642
8.72,0.348334285
8.73,0.348208248
8.74,0.348082511
8.75,0.347957069
8.76,0.347831945
8.77,0.347707107
8.78,0.347582574
8.79,0.347458335
8.8,0.347334408
8.81,0.347210763
8.82,0.34708742
8.83,0.346964365
8.84,0.34684162
8.85,0.346719151
8.86,0.346596981
8.87,0.346475107
8.88,0.346353517
8.89,0.346232211
8.9,0.346111199
8.91,0.345990469
8.92,0.34587003
8.93,0.345749881
8.94,0.345630012
8.95,0.345510422
8.96,0.345391118
8.97,0.345272091
8.98,0.345153351
8.99,0.345034884
9,0.344916702
9.01,0.344798791
9.02,0.344681163
9.03,0.344563809
9.04,0.344446733
9.05,0.344329925
9.06,0.344213386
9.07,0.344097126
9.08,0.343981142
9.09,0.343865424
9.1,0.343749971
9.11,0.343634793
9.12,0.343519877
9.13,0.343405233
9.14,0.343290852
9.15,0.34317674
9.16,0.34306289
9.17,0.342949296
9.18,0.342835972
9.19,0.342722915
9.2,0.342610115
9.21,0.34249757
9.22,0.342385289
9.23,0.342273264
9.24,0.342161501
9.25,0.342049989
9.26,0.341938731
9.27,0.341827732
9.28,0.341716984
9.29,0.341606495
9.3,0.341496253
9.31,0.341386269
9.32,0.341276533
9.33,0.341167042
9.34,0.341057806
9.35,0.340948823
9.36,0.340840086
9.37,0.34073159
9.38,0.340623337
9.39,0.340515334
9.4,0.340407583
9.41,0.340300071
9.42,0.340192797
9.43,0.340085762
9.44,0.339978985
9.45,0.339872433
9.46,0.339766128
9.47,0.339660059
9.48,0.339554234
9.49,0.339448641
9.5,0.339343293
9.51,0.339238176
9.52,0.33913329
9.53,0.339028646
9.54,0.338924232
9.55,0.338820046
9.56,0.338716098
9.57,0.33861239
9.58,0.338508906
9.59,0.338405642
9.6,0.338302621
9.61,0.338199827
9.62,0.338097256
9.63,0.337994919
9.64,0.337892803
9.65,0.337790923
9.66,0.337689251
9.67,0.337587821
9.68,0.337486601
9.69,0.337385612
9.7,0.337284849
9.71,0.337184297
9.72,0.33708397
9.73,0.336983871
9.74,0.336883988
9.75,0.336784319
9.76,0.336684875
9.77,0.336585646
9.78,0.33648663
9.79,0.336387836
9.8,0.336289255
9.81,0.336190895
9.82,0.336092746
9.83,0.335994807
9.84,0.335897078
9.85,0.335799566
9.86,0.335702273
9.87,0.335605178
9.88,0.3355083
9.89,0.335411637
9.9,0.335315171
9.91,0.33521893
9.92,0.335122883
9.93,0.335027049
9.94,0.33493142
9.95,0.334836002
9.96,0.334740786
9.97,0.334645771
9.98,0.334550969
9.99,0.334456364
10,0.33436196
10.01,0.334336273
10.02,0.334306723
10.03,0.334277237
10.04,0.334247823
10.05,0.334218473
10.06,0.334189185
10.07,0.334159971
10.08,0.334130819
10.09,0.33410174
10.1,0.334072711
10.11,0.334043756
10.12,0.334014872
10.13,0.333986049
10.14,0.333957288
10.15,0.333928589
10.16,0.33389996
10.17,0.333871391
10.18,0.333842893
10.19,0.333814445
10.2,0.333786069
10.21,0.33375776
10.22,0.333729513
10.23,0.333701325
10.24,0.333673196
10.25,0.333645135
10.26,0.333617134
10.27,0.333589193
10.28,0.33356132
10.29,0.333533505
10.3,0.333505757
10.31,0.333478059
10.32,0.333450428
10.33,0.333422864
10.34,0.333395348
10.35,0.3333679
10.36,0.333340519
10.37,0.333313184
10.38,0.333285915
10.39,0.333258705
10.4,0.33323156
10.41,0.33320447
10.42,0.333177437
10.43,0.33315047
10.44,0.333123548
10.45,0.333096692
10.46,0.333069902
10.47,0.333043155
10.48,0.333016485
10.49,0.33298986
10.5,0.332963288
10.51,0.33293679
10.52,0.332910339
10.53,0.332883939
10.54,0.332857605
10.55,0.332831324
10.56,0.332805107
10.57,0.332778932
10.58,0.332752822
10.59,0.332726774
10.6,0.332700769
10.61,0.332674826
10.62,0.332648937
10.63,0.332623109
10.64,0.332597335
10.65,0.332571613
10.66,0.33254594
10.67,0.332520331
10.68,0.332494774
10.69,0.332469268
10.7,0.332443822
10.71,0.332418427
10.72,0.332393085
10.73,0.332367794
10.74,0.332342561
10.75,0.332317381
10.76,0.332292249
10.77,0.332266968
10.78,0.332240718
10.79,0.332214517
10.8,0.332188376
10.81,0.332162303
10.82,0.332136282
10.83,0.332110308
10.84,0.332084405
10.85,0.33205856
10.86,0.332032764
10.87,0.332007037
10.88,0.331981358
10.89,0.331955736
10.9,0.331930174
10.91,0.33190467
10.92,0.331879213
10.93,0.331853813
10.94,0.331828482
10.95,0.331803198
10.96,0.331777962
10.97,0.331752793
10.98,0.33172768
10.99,0.331702615
11,0.331677606
11.01,0.331652654
11.02,0.331627758
11.03,0.331602909
11.04,0.331578116
11.05,0.331553379
11.06,0.331528698
11.07,0.331504073
11.08,0.331479493
11.09,0.331454968
11.1,0.3314305
11.11,0.331406086
11.12,0.331381727
11.13,0.331357413
11.14,0.331333155
11.15,0.331308951
11.16,0.331284791
11.17,0.331260685
11.18,0.331236645
11.19,0.331212649
11.2,0.331188696
11.21,0.331164797
11.22,0.331140951
11.23,0.33111716
11.24,0.331093422
11.25,0.331069728
11.26,0.331046085
11.27,0.331022497
11.28,0.330998953
11.29,0.330975461
11.3,0.330952021
11.31,0.330928633
11.32,0.330905289
11.33,0.330881997
11.34,0.330858756
11.35,0.330835558
11.36,0.330812424
11.37,0.330789318
11.38,0.330766276
11.39,0.330743276
11.4,0.330720327
11.41,0.330697429
11.42,0.330674572
11.43,0.330651766
11.44,0.330629014
11.45,0.330606309
11.46,0.330583647
11.47,0.330561024
11.48,0.330538453
